Date,Open,High,Low,Close,Volume,Adj Close
2016-04-18,845.05,860.65,845.00,853.30,2926500,853.30
2016-04-15,837.55,837.55,837.55,837.55,000,837.55
2016-04-14,837.55,837.55,837.55,837.55,000,837.55
2016-04-13,844.95,846.50,835.15,837.55,1318200,837.55
2016-04-12,843.00,845.00,831.25,839.65,709600,839.65
2016-04-11,836.45,841.95,824.40,839.30,970200,839.30
2016-04-08,831.85,836.00,825.60,833.10,722800,833.10
2016-04-07,846.90,846.90,827.00,828.45,940800,828.45
2016-04-06,847.00,847.95,826.10,838.75,1082900,838.75
2016-04-05,839.85,848.90,832.55,843.25,2499800,843.25
2016-04-04,815.00,841.95,815.00,839.85,2830900,839.85
2016-04-01,820.00,824.00,807.00,820.40,2664800,820.40
2016-03-31,815.00,824.50,809.90,814.10,4586900,814.10
2016-03-30,805.45,822.00,805.45,820.60,2302300,820.60
2016-03-29,814.60,816.20,799.90,806.80,2531600,806.80
2016-03-28,819.90,826.50,806.45,810.65,2957200,810.65
2016-03-25,817.70,817.70,817.70,817.70,000,817.70
2016-03-24,817.70,817.70,817.70,817.70,000,817.70
2016-03-23,828.00,830.00,813.40,817.70,2509300,817.70
2016-03-22,820.75,831.00,817.00,828.45,2733200,828.45
2016-03-21,828.00,828.00,815.20,822.55,1658200,822.55
2016-03-18,816.00,828.80,815.00,824.15,1661500,824.15
2016-03-17,820.00,829.00,810.55,815.30,1714800,815.30
2016-03-16,813.45,816.50,807.50,814.90,1218200,814.90
2016-03-15,826.00,826.95,810.50,811.85,1355600,811.85
2016-03-14,823.85,830.40,822.00,827.90,1426300,827.90
2016-03-11,817.00,825.00,812.50,823.05,2120500,823.05
2016-03-10,821.80,822.90,806.40,817.85,2507800,817.85
2016-03-09,813.95,818.00,801.35,815.65,6110700,815.65
2016-03-08,828.00,831.95,809.45,815.25,3245000,815.25
2016-03-07,835.40,835.40,835.40,835.40,000,835.40
2016-03-04,860.20,861.10,830.35,835.40,1777300,835.40
2016-03-03,865.00,866.35,851.60,859.30,1007900,859.30
2016-03-02,837.00,865.00,829.35,854.85,1639600,854.85
2016-03-01,813.90,841.40,809.00,832.15,1057200,832.15
2016-02-29,822.00,831.65,795.00,813.25,1547000,813.25
2016-02-26,814.35,832.00,814.00,824.65,1023900,824.65
2016-02-25,807.00,815.00,799.70,808.75,809800,808.75
2016-02-24,829.60,839.00,809.00,811.05,861100,811.05
2016-02-23,845.00,849.00,827.00,828.95,630400,828.95
2016-02-22,849.80,849.80,840.10,845.95,923700,845.95
2016-02-19,842.00,857.00,828.40,851.55,1183000,851.55
2016-02-18,829.05,847.00,827.35,843.95,1064500,843.95
2016-02-17,829.95,835.00,816.35,824.80,1360100,824.80
2016-02-16,825.10,837.90,819.25,824.30,1052200,824.30
2016-02-15,813.00,832.50,810.35,827.10,1380800,827.10
2016-02-12,814.00,825.85,784.95,798.25,1392400,798.25
2016-02-11,827.40,827.40,801.60,808.00,1619200,808.00
2016-02-10,815.50,833.00,807.60,827.40,1132600,827.40
2016-02-09,843.00,844.00,805.95,810.45,1667200,810.45
2016-02-08,866.10,868.95,846.00,849.75,805200,849.75
2016-02-05,877.00,877.00,858.35,869.65,983800,869.65
2016-02-04,855.10,874.80,848.95,867.35,1317300,867.35
2016-02-03,866.35,870.00,848.85,852.10,978000,852.10
2016-02-02,880.00,885.00,867.05,872.65,1112700,872.65
2016-02-01,865.80,889.90,865.80,880.30,1297200,880.30
2016-01-29,845.25,870.00,842.30,865.75,1917500,865.75
2016-01-28,833.00,849.80,829.70,844.50,1600600,844.50
2016-01-27,838.00,840.90,830.20,836.00,1100700,836.00
2016-01-26,838.70,838.70,838.70,838.70,000,832.70
2016-01-25,847.50,858.90,836.85,838.70,1095000,832.70
2016-01-22,838.00,850.95,831.90,839.25,1009200,833.2461
2016-01-21,844.00,850.15,831.25,835.25,1674200,829.2747
2016-01-20,831.05,846.00,823.00,841.90,1988000,835.8771
2016-01-19,867.00,870.00,800.00,838.25,5309400,832.2532
2016-01-18,831.10,853.95,831.10,842.35,1887000,836.3239
2016-01-15,828.50,842.00,816.00,838.05,2285500,832.0546
2016-01-14,810.05,841.80,810.05,828.85,2540600,822.9204
2016-01-13,814.80,829.85,804.30,826.40,1579200,820.488
2016-01-12,818.00,819.00,798.05,810.05,1157600,804.2549
2016-01-11,815.00,833.00,811.10,814.55,1267600,808.7228
2016-01-08,828.00,836.75,813.80,828.35,1688400,822.424
2016-01-07,836.10,837.90,819.00,825.05,1450600,819.1476
2016-01-06,853.70,853.70,837.00,841.40,1398900,835.3807
2016-01-05,848.95,851.05,836.40,842.80,732600,836.7707
2016-01-04,841.00,854.95,837.45,845.95,1086000,839.8981
2016-01-01,855.10,855.10,843.50,845.85,485100,839.7988
2015-12-31,837.00,860.00,836.95,855.10,873800,848.9827
2015-12-30,854.85,858.50,838.00,840.50,876000,834.4871
2015-12-29,864.95,866.00,846.55,854.50,1142700,848.387
2015-12-28,858.50,874.00,853.85,867.70,901800,861.4925
2015-12-25,860.30,860.30,860.30,860.30,000,854.1455
2015-12-24,860.70,866.00,855.55,860.30,370700,854.1455
2015-12-23,850.00,865.45,849.50,863.80,673200,857.6204
2015-12-22,855.00,855.45,845.85,849.25,718400,843.1745
2015-12-21,845.00,857.95,843.15,855.45,458800,849.3302
2015-12-18,860.00,865.00,844.90,846.15,1419100,840.0967
2015-12-17,851.45,864.30,847.25,860.45,969800,854.2944
2015-12-16,849.30,859.80,842.70,847.05,815300,840.9903
2015-12-15,849.70,849.70,840.90,845.20,804600,839.1535
2015-12-14,843.00,852.65,826.00,840.85,768200,834.8346
2015-12-11,849.90,849.90,836.25,840.60,531100,834.5864
2015-12-10,844.00,850.00,837.00,845.70,918900,839.6499
2015-12-09,857.00,857.00,839.70,844.25,1302200,838.2103
2015-12-08,841.65,867.90,841.65,858.05,1588100,851.9116
2015-12-07,840.20,852.85,834.00,842.30,1311000,836.2742
2015-12-04,849.25,850.00,831.15,836.00,1889100,830.0193
2015-12-03,856.00,856.00,849.25,851.15,1918300,845.061
2015-12-02,882.00,882.00,856.00,859.65,1287600,853.5001
2015-12-01,870.95,885.70,869.05,877.70,1273500,871.421
2015-11-30,872.15,881.75,862.65,870.95,2582500,864.7193
2015-11-27,864.00,875.00,863.20,872.55,790400,866.3078
2015-11-26,861.20,869.00,856.85,862.90,1040800,856.7269
2015-11-25,866.20,866.20,866.20,866.20,000,860.0033
2015-11-24,862.10,872.50,856.60,866.20,1124300,860.0033
2015-11-23,862.00,867.95,858.60,863.75,589600,857.5708
2015-11-20,872.00,874.40,855.50,866.55,1693400,860.3508
2015-11-19,850.00,876.85,846.05,873.95,1764100,867.6978
2015-11-18,853.95,853.95,835.25,845.65,1523400,839.6003
2015-11-17,844.50,859.90,835.75,856.75,1702800,850.6209
2015-11-16,828.10,842.40,825.00,838.60,1438000,832.6007
2015-11-13,825.00,856.80,823.20,843.40,1475300,837.3664
2015-11-12,851.30,851.30,851.30,851.30,000,845.2098
2015-11-11,851.30,851.30,851.30,851.30,000,845.2098
2015-11-10,876.25,879.85,847.20,851.30,839100,845.2098
2015-11-09,878.90,885.00,870.10,882.50,1521900,876.1867
2015-11-06,877.50,889.50,874.60,885.45,1326900,879.1156
2015-11-05,881.60,883.80,874.05,877.50,1185200,871.2224
2015-11-04,879.00,884.40,875.00,881.60,841800,875.2931
2015-11-03,876.25,881.90,874.25,876.10,1057800,869.8324
2015-11-02,875.00,880.90,870.10,876.30,1010000,870.031
2015-10-30,876.00,877.00,867.55,871.70,1327800,865.4639
2015-10-29,877.70,885.20,873.25,875.90,2121700,869.6339
2015-10-28,867.00,880.00,854.00,877.55,1675600,871.2721
2015-10-27,863.00,874.00,854.60,867.65,1540700,861.4429
2015-10-26,859.35,868.65,857.10,863.55,2078700,857.3722
2015-10-23,867.00,869.90,848.00,852.95,1532400,846.8481
2015-10-22,863.05,863.05,863.05,863.05,000,856.8758
2015-10-21,866.80,868.95,852.10,863.05,1297300,856.8758
2015-10-20,859.00,868.50,848.45,864.30,2835200,853.1526
2015-10-19,830.00,861.00,818.70,857.75,5025900,846.6871
2015-10-16,836.05,845.75,835.00,841.15,1135000,830.3012
2015-10-15,835.00,838.90,828.00,835.00,1822300,824.2305
2015-10-14,829.00,838.95,825.00,833.55,1351000,822.7992
2015-10-13,852.00,853.00,826.35,829.90,2918600,819.1963
2015-10-12,859.00,860.95,829.65,855.10,2417900,844.0713
2015-10-09,835.50,850.80,833.50,849.20,4734100,838.2474
2015-10-08,828.80,837.40,812.50,828.65,8490900,817.9625
2015-10-07,845.00,848.75,811.10,817.20,6876300,806.6601
2015-10-06,863.00,868.00,848.70,853.60,2954700,842.5906
2015-10-05,845.70,870.80,838.05,859.90,6691800,848.8094
2015-10-02,857.05,857.05,857.05,857.05,000,845.9961
2015-10-01,890.00,914.80,834.85,857.05,13383200,845.9961
2015-09-30,962.00,989.70,953.85,982.15,1758100,969.4827
2015-09-29,940.00,960.50,940.00,953.70,1409200,941.3996
2015-09-28,956.00,964.45,945.00,950.50,778700,938.2409
2015-09-25,954.95,954.95,954.95,954.95,000,942.6335
2015-09-24,928.00,958.50,927.60,954.95,1531300,942.6335
2015-09-23,935.00,935.00,912.75,927.10,1138200,915.1427
2015-09-22,947.00,965.50,931.00,935.00,1607200,922.9408
2015-09-21,942.05,969.25,941.70,944.00,986200,931.8247
2015-09-18,954.00,955.90,937.60,950.55,1423900,938.2902
2015-09-17,938.90,938.90,938.90,938.90,000,926.7905
2015-09-16,938.00,947.65,930.15,938.90,900500,926.7905
2015-09-15,930.00,931.60,921.00,928.80,1225800,916.8207
2015-09-14,921.20,931.00,917.20,928.55,769800,916.574
2015-09-11,921.00,924.95,906.45,920.20,1101300,908.3317
2015-09-10,933.00,936.00,909.00,915.90,2059400,904.0872
2015-09-09,943.00,956.00,938.00,943.20,1053200,931.035
2015-09-08,918.00,944.05,918.00,936.35,1188300,924.2734
2015-09-07,940.00,944.95,915.00,920.85,670200,908.9733
2015-09-04,958.25,964.35,936.00,940.30,1332800,928.1724
2015-09-03,962.00,966.75,950.50,961.00,1125900,948.6055
2015-09-02,950.00,968.95,944.10,948.90,2045000,936.6615
2015-09-01,967.00,976.50,926.00,952.00,1423700,939.7215
2015-08-31,958.20,980.00,958.20,971.05,2721200,958.5258
2015-08-28,924.60,954.90,924.50,952.20,1540800,939.919
2015-08-27,908.10,927.95,905.40,913.10,2027800,901.3232
2015-08-26,912.10,934.90,884.00,910.00,2404300,898.2632
2015-08-25,930.00,933.70,889.90,914.05,2735000,902.261
2015-08-24,944.00,948.80,919.05,927.90,2108400,915.9324
2015-08-21,957.00,977.50,940.00,964.90,1797600,952.4552
2015-08-20,992.45,992.45,956.50,961.25,1259300,948.8522
2015-08-19,975.05,997.70,971.50,988.15,1645700,975.4053
2015-08-18,973.95,985.95,965.00,969.60,1611500,957.0945
2015-08-17,976.40,980.20,962.00,968.45,840600,955.9594
2015-08-14,967.10,983.90,961.85,973.70,789200,961.1417
2015-08-13,977.80,988.90,956.10,965.55,1578400,953.0968
2015-08-12,941.80,973.60,940.70,970.80,2109800,958.279
2015-08-11,941.20,946.00,937.00,940.40,859100,928.2712
2015-08-10,939.25,950.00,930.10,936.45,1108300,924.3721
2015-08-07,946.00,947.25,935.50,939.35,909000,927.2347
2015-08-06,946.20,950.00,941.65,946.00,934800,928.8634
2015-08-05,938.90,945.00,931.20,937.40,1179300,920.4192
2015-08-04,942.60,950.00,930.00,932.90,1904700,916.0007
2015-08-03,952.45,963.45,934.30,938.85,3535800,921.8429
2015-07-31,956.00,1006.00,956.00,998.25,1966800,980.1669
2015-07-30,959.90,973.00,953.05,957.90,1546700,940.5479
2015-07-29,934.00,954.00,925.30,951.35,1453300,934.1165
2015-07-28,937.70,948.95,920.15,923.35,1196000,906.6237
2015-07-27,951.85,958.25,923.25,937.10,1675700,920.1246
2015-07-24,980.70,980.70,950.55,952.65,1183800,935.393
2015-07-23,984.00,994.95,965.60,970.05,797600,952.4777
2015-07-22,974.80,985.95,967.30,983.05,700600,965.2422
2015-07-21,948.40,990.00,947.90,974.80,1981500,957.1417
2015-07-20,956.70,959.80,943.00,946.65,706500,929.5016
2015-07-17,963.00,973.00,952.55,955.40,1036900,938.0931
2015-07-16,958.80,963.60,945.05,956.55,885000,939.2223
2015-07-15,951.95,957.45,943.00,948.15,1195900,930.9745
2015-07-14,963.00,968.00,948.00,954.95,1212000,937.6513
2015-07-13,934.90,963.00,934.60,960.85,1207700,943.4444
2015-07-10,930.00,930.00,917.05,925.65,1180200,908.8821
