Date,Open,High,Low,Close,Volume,Adj Close
2016-04-18,1245.55005,1267.90002,1233.44995,1238.80005,753800,1238.80005
2016-04-15,1172.05005,1172.05005,1172.05005,1172.05005,000,1172.05005
2016-04-14,1172.05005,1172.05005,1172.05005,1172.05005,000,1172.05005
2016-04-13,1194.00,1195.00,1166.50,1172.05005,801800,1172.05005
2016-04-12,1185.00,1194.94995,1178.59998,1182.30005,170000,1182.30005
2016-04-11,1167.00,1187.25,1151.40002,1184.40002,147700,1184.40002
2016-04-08,1175.00,1178.00,1162.05005,1167.34998,92100,1167.34998
2016-04-07,1212.00,1214.84998,1164.00,1181.65002,5832000,1181.65002
2016-04-06,1224.50,1228.00,1197.00,1201.09998,103200,1201.09998
2016-04-05,1243.00,1243.00,1215.00,1218.59998,246600,1218.59998
2016-04-04,1212.00,1249.90002,1212.00,1243.55005,119100,1243.55005
2016-04-01,1212.00,1221.80005,1197.00,1205.90002,123200,1205.90002
2016-03-31,1210.00,1228.94995,1200.59998,1217.94995,113800,1217.94995
2016-03-30,1200.00,1209.00,1196.00,1205.80005,78500,1205.80005
2016-03-29,1200.00,1217.50,1191.59998,1198.94995,114500,1198.94995
2016-03-28,1229.94995,1234.65002,1196.19995,1204.69995,162200,1204.69995
2016-03-25,1207.75,1207.75,1207.75,1207.75,000,1207.75
2016-03-24,1207.75,1207.75,1207.75,1207.75,000,1207.75
2016-03-23,1189.00,1212.00,1181.94995,1207.75,159900,1207.75
2016-03-22,1194.00,1194.00,1172.30005,1189.90002,106800,1189.90002
2016-03-21,1187.00,1199.00,1180.19995,1195.00,120100,1195.00
2016-03-18,1161.00,1195.80005,1161.00,1190.19995,148300,1190.19995
2016-03-17,1156.00,1169.90002,1154.00,1160.19995,67100,1160.19995
2016-03-16,1139.94995,1154.90002,1132.05005,1152.00,69800,1152.00
2016-03-15,1146.00,1153.90002,1129.00,1134.34998,75900,1134.34998
2016-03-14,1150.00,1154.50,1138.00,1140.94995,74800,1140.94995
2016-03-11,1146.00,1156.09998,1139.00,1142.50,79100,1142.50
2016-03-10,1164.00,1164.09998,1142.94995,1145.94995,1577900,1145.94995
2016-03-09,1147.00,1183.80005,1144.00,1178.50,119600,1178.50
2016-03-08,1170.00,1190.00,1148.00,1163.55005,126700,1163.55005
2016-03-07,1170.55005,1170.55005,1170.55005,1170.55005,000,1170.55005
2016-03-04,1170.00,1184.40002,1160.00,1170.55005,125900,1170.55005
2016-03-03,1169.00,1192.90002,1155.15002,1169.15002,197000,1169.15002
2016-03-02,1132.00,1162.00,1125.00,1156.25,198900,1156.25
2016-03-01,1098.00,1131.00,1089.00,1124.50,126100,1124.50
2016-02-29,1130.00,1130.00,1069.34998,1083.75,215500,1083.75
2016-02-26,1113.00,1130.75,1113.00,1121.05005,160600,1121.05005
2016-02-25,1125.00,1130.40002,1102.00,1111.25,289800,1111.25
2016-02-24,1123.00,1143.94995,1119.00,1125.40002,205200,1125.40002
2016-02-23,1133.00,1133.00,1117.05005,1123.94995,79700,1123.94995
2016-02-22,1133.00,1133.00,1114.30005,1125.30005,107000,1125.30005
2016-02-19,1122.90002,1133.25,1114.65002,1124.00,74900,1124.00
2016-02-18,1097.00,1126.44995,1097.00,1122.69995,90700,1122.69995
2016-02-17,1082.00,1101.40002,1077.00,1095.44995,388300,1095.44995
2016-02-16,1090.00,1092.00,1075.15002,1081.00,290800,1081.00
2016-02-15,1090.00,1099.94995,1086.80005,1091.34998,1511000,1091.34998
2016-02-12,1086.00,1103.50,1067.00,1083.50,162800,1083.50
2016-02-11,1114.00,1114.00,1072.34998,1081.15002,122400,1081.15002
2016-02-10,1108.00,1127.00,1105.55005,1110.15002,119300,1110.15002
2016-02-09,1130.00,1130.00,1094.00,1109.30005,151200,1109.30005
