Date,Open,High,Low,Close,Volume,Adj Close
2016-04-18,211.75,211.75,206.10,207.55,3300100,207.55
2016-04-15,213.35,213.35,213.35,213.35,000,213.35
2016-04-14,213.35,213.35,213.35,213.35,000,213.35
2016-04-13,215.00,215.40,212.80,213.35,4291700,213.35
2016-04-12,207.85,212.65,207.15,211.35,4228800,211.35
2016-04-11,208.60,209.25,205.20,207.60,3461700,207.60
2016-04-08,207.80,209.45,205.65,206.15,1612100,206.15
2016-04-07,209.05,209.50,206.70,207.75,3363300,207.75
2016-04-06,206.70,208.00,204.00,206.10,2878300,206.10
2016-04-05,206.00,208.50,204.05,205.50,3271100,205.50
2016-04-04,208.45,208.65,204.55,207.30,3662600,207.30
2016-04-01,214.50,214.95,208.10,208.80,6844100,208.80
2016-03-31,214.70,217.55,212.15,214.10,12174400,214.10
2016-03-30,213.00,219.00,212.30,217.90,3899800,217.90
2016-03-29,215.95,216.00,210.70,212.25,3335400,212.25
2016-03-28,216.50,218.70,212.40,213.95,4803900,213.95
2016-03-25,214.60,214.60,214.60,214.60,000,214.60
2016-03-24,214.60,214.60,214.60,214.60,000,214.60
2016-03-23,216.40,217.75,211.90,214.60,3985400,214.60
2016-03-22,216.65,219.15,215.00,216.10,4407000,216.10
2016-03-21,214.00,217.50,213.00,216.65,3867800,216.65
2016-03-18,213.75,215.00,212.50,214.60,4517400,214.60
2016-03-17,208.55,214.90,208.50,212.25,5596200,212.25
2016-03-16,207.30,208.75,204.90,206.50,3459100,206.50
2016-03-15,206.00,207.90,205.05,207.40,3669600,206.65
2016-03-14,207.50,209.00,205.75,208.25,4999000,207.4969
2016-03-11,207.60,207.60,202.20,205.10,9508000,204.3583
2016-03-10,208.95,208.95,204.35,205.70,8978500,204.9561
2016-03-09,202.00,206.00,201.30,205.25,5125800,204.5078
2016-03-08,202.75,206.35,201.00,201.85,8172500,201.1201
2016-03-07,200.70,200.70,200.70,200.70,000,199.9742
2016-03-04,199.90,204.40,199.00,200.70,15015300,199.9742
2016-03-03,196.50,200.85,193.75,197.20,11244400,196.4869
2016-03-02,194.40,197.30,192.10,194.95,10349900,194.245
2016-03-01,193.90,193.90,188.55,191.50,15412000,190.8075
2016-02-29,217.25,221.10,192.50,194.10,15873200,193.3981
2016-02-26,217.40,218.55,214.10,216.05,2803800,215.2687
2016-02-25,212.40,217.80,209.60,216.25,3852300,215.468
2016-02-24,212.80,212.80,208.20,209.40,1745400,208.6428
2016-02-23,215.70,217.80,211.85,214.60,2395500,213.824
2016-02-22,212.00,215.10,210.70,214.40,2401200,213.6247
2016-02-19,206.95,212.10,206.00,211.15,3612700,210.3864
2016-02-18,203.65,210.60,203.00,209.10,5199700,208.3439
2016-02-17,200.00,202.00,197.20,200.35,4860000,199.6255
2016-02-16,203.65,206.10,198.10,199.95,6994000,199.2269
2016-02-15,198.60,201.20,194.65,200.35,4771800,199.6255
2016-02-12,200.00,200.00,187.75,193.25,6735100,192.5512
2016-02-11,213.80,213.90,200.05,203.15,5858000,202.4154
2016-02-10,213.85,216.00,210.80,213.50,2711100,212.7279
2016-02-09,210.90,219.55,210.50,218.15,2434400,217.3611
2016-02-08,220.00,220.20,211.65,214.05,1842700,213.276
2016-02-05,220.30,221.85,217.55,219.95,3807100,219.1546
