Date,Open,High,Low,Close,Volume,Adj Close
2016-04-18,1065.80,1066.80,1055.40,1064.75,4358100,1064.75
2016-04-11,1037.00,1069.90,1033.00,1066.05,1714800,1066.05
2016-04-04,1040.00,1054.45,1022.10,1036.35,2198100,1036.35
2016-03-28,1030.00,1056.00,1015.65,1034.45,4188000,1034.45
2016-03-21,1027.95,1052.25,1022.40,1029.20,2050200,1029.20
2016-03-14,1019.10,1036.90,1005.45,1027.20,2939300,1027.20
2016-03-07,1006.40,1045.90,1006.40,1014.50,2793400,1004.0745
2016-02-29,951.30,1018.00,935.00,1006.40,4226900,996.0577
2016-02-22,944.10,968.30,940.85,950.35,3662900,940.5837
2016-02-15,918.00,968.70,916.40,944.35,3310700,934.6454
2016-02-08,971.10,984.80,888.10,906.55,4343000,897.2338
2016-02-01,1039.95,1041.80,961.40,970.90,3638200,960.9225
2016-01-25,1010.00,1040.00,996.95,1035.40,3319000,1024.7598
2016-01-18,1075.00,1083.95,976.70,1004.15,6825800,993.8309
2016-01-11,1015.95,1089.75,1011.00,1073.30,8264700,1062.2703
2016-01-04,1005.00,1038.40,986.70,1025.75,5162700,1015.2089
2015-12-28,1000.60,1019.70,999.10,1015.35,2736100,1004.9157
2015-12-21,987.90,1007.20,984.00,1000.55,2227800,990.2678
2015-12-14,947.60,1015.00,946.00,991.90,3372200,981.7068
2015-12-07,965.45,973.00,912.85,952.95,3105800,943.157
2015-11-30,978.50,988.95,961.25,965.45,3441500,955.5286
2015-11-23,950.00,992.50,946.20,979.05,2743100,968.9888
2015-11-16,926.00,952.80,909.95,946.85,2682200,937.1197
2015-11-09,933.50,965.00,914.50,933.05,1929200,923.4615
2015-11-02,949.00,975.00,933.00,952.40,2183500,942.6127
2015-10-26,961.90,963.00,929.90,947.70,2795300,937.961
2015-10-19,941.00,974.80,941.00,955.65,3572900,945.8293
2015-10-12,888.00,914.80,882.90,912.15,2042200,902.7763
2015-10-05,862.80,918.05,861.85,887.35,2740200,878.2311
2015-09-28,839.80,873.95,826.10,864.70,2442700,855.8139
2015-09-21,880.00,888.20,834.75,837.35,3327000,828.7449
2015-09-14,861.75,899.50,851.90,895.40,3070200,886.1984
2015-09-07,838.25,878.70,825.10,860.95,2842800,852.1025
